重庆本地,#genre#
峨眉电影HD,https://live.goodiptv.club/api/sxg.php?id=emdygqH265_4000
法治天地,http://192.168.6.1:8000/udp/235.254.197.154:7980
快乐垂钓,http://192.168.6.1:8000/udp/235.254.199.191:7980
求索纪录,http://192.168.6.1:8000/udp/235.254.199.251:7980
金鹰纪实,http://[2409:8087:4400:20:1:a0f:12:39]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226668/index.m3u8
纪实人文，http://192.168.6.1:8000/udp/235.254.199.122:7980
中华特产,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226345/index.m3u8?servicetype=1
梨园频道,http://192.168.6.1:8000/udp/235.254.199.163:7980
魅力足球,http://192.168.6.1:8000/udp/235.254.196.173:7980
生活时尚,http://192.168.6.1:8000/udp/235.254.197.160:7980
爱喜剧,http://39.134.136.160:6610/000000001000/6000000006000010630/1.m3u8?Contentid=6000000006000010630&livemode=1&stbId=2&channel-id=wasusyt
爱江湖,http://39.134.136.160:6610/000000001001/6000000006000110630/1.m3u8?Contentid=6000000006000110630&livemode=1&stbId=2&channel-id=wasusyt
爱悬疑,http://39.134.136.160:6610/000000001001/6000000006000050630/1.m3u8?Contentid=6000000006000050630&livemode=1&stbId=2&channel-id=wasusyt
爱经典,http://39.134.136.160:6610/000000001001/6000000006000060630/1.m3u8?Contentid=6000000006000060630&livemode=1&stbId=2&channel-id=wasusyt
爱都市,http://39.134.136.160:6610/000000001001/6000000006000080630/1.m3u8?Contentid=6000000006000080630&livemode=1&stbId=2&channel-id=wasusyt
爱院线,http://39.134.136.160:6610/000000001001/6000000006000030630/1.m3u8?Contentid=6000000006000030630&livemode=1&stbId=2&channel-id=wasusyt
爱青春,http://39.134.136.160:6610/000000001001/6000000006000100630/1.m3u8?Contentid=6000000006000100630&livemode=1&stbId=2&channel-id=wasusyt
爱时尚,http://39.134.136.160:6610/000000001001/6000000006000140630/1.m3u8?Contentid=6000000006000140630&livemode=1&stbId=2&channel-id=wasusyt
爱动漫,http://39.134.136.160:6610/000000001001/6000000006000280630/1.m3u8?Contentid=6000000006000280630&livemode=1&stbId=2&channel-id=wasusyt
爱幼教,http://39.134.136.160:6610/000000001001/6000000006000180630/1.m3u8?Contentid=6000000006000180630&livemode=1&stbId=2&channel-id=wasusyt
爱历史,http://39.134.136.160:6610/000000001001/6000000006000150630/1.m3u8?Contentid=6000000006000150630&livemode=1&stbId=2&channel-id=wasusyt
爱科学,http://39.134.136.160:6610/000000001001/6000000006000160630/1.m3u8?Contentid=6000000006000160630&livemode=1&stbId=2&channel-id=wasusyt
爱美食,http://39.134.136.160:6610/000000001001/6000000006000120630/1.m3u8?Contentid=6000000006000120630&livemode=1&stbId=2&channel-id=wasusyt
爱娱乐,http://39.134.136.160:6610/000000001001/6000000006000160630/1.m3u8?Contentid=6000000006000130630&livemode=1&stbId=2&channel-id=wasusyt
轮播频道,#genre#
动作电影,http://iptv.kjrzxhb.top:2086/udp/239.11.0.142:5140
超级电影,http://39.135.138.58:18890/PLTV/88888888/224/3221225766/index.m3u8
精品大剧,http://39.135.138.60:18890/PLTV/88888910/224/3221225714/index.m3u8#http://iptv.kjrzxhb.top:2086/udp/239.11.0.150:5140
古装剧场,http://39.135.138.60:18890/PLTV/88888910/224/3221225678/index.m3u8#http://iptv.kjrzxhb.top:2086/udp/239.11.0.141:5140
家庭剧场,http://39.135.138.60:18890/PLTV/88888910/224/3221225713/index.m3u8#http://iptv.kjrzxhb.top:2086/udp/239.11.0.131:5140
军旅剧场,http://39.135.138.60:18890/PLTV/88888910/224/3221225669/index.m3u8#http://iptv.kjrzxhb.top:2086/udp/239.11.0.143:5140
周星驰,http://epg.112114.xyz/huya/11342412
恐怖港片,http://epg.112114.xyz/huya/11601960
喜剧电影,http://epg.112114.xyz/douyu/9292492
邵氏影院,http://epg.112114.xyz/douyu//4246519
功夫影院,http://epg.112114.xyz/huya/11342435
奇幻动作,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1353685311
武侠剧场,http://192.168.6.1:8000/udp/235.254.199.97:7980
